split,repeat,fold,cv_mode,model,n_features_final,inner_cv_auc,roc_auc,pr_auc,accuracy,f1,mcc,sensitivity,specificity,balanced_accuracy,threshold,tp,fp,tn,fn,ensemble_members
10,2,5,stratified_group_kfold_similarity_aware,weighted_ensemble,300,0.79446084232999,0.8120904671316846,0.7285167653023957,0.75,0.7368421052631579,0.5269917451729869,0.8596491228070176,0.6746987951807228,0.7671739589938702,0.37,49,27,56,8,"logreg_l2,svm_rbf,nu_svm,rf,extra_trees,hist_gb,xgb"
11,3,1,stratified_group_kfold_similarity_aware,logreg_l2,300,0.7660215809884067,0.75097037793667,0.6768569232151047,0.7013888888888888,0.6194690265486725,0.37439682568881594,0.6363636363636364,0.7415730337078652,0.6889683350357507,0.4749153947923984,35,23,66,20,
11,3,1,stratified_group_kfold_similarity_aware,svm_rbf,300,0.7824661683863715,0.7628192032686415,0.6983775811320396,0.7083333333333334,0.6440677966101694,0.40156720723980843,0.6909090909090909,0.7191011235955056,0.7050051072522983,0.3684034473682007,38,25,64,17,
11,3,1,stratified_group_kfold_similarity_aware,nu_svm,300,0.7854921893407507,0.7444330949948927,0.6643636565209943,0.7083333333333334,0.631578947368421,0.39135058948845153,0.6545454545454545,0.7415730337078652,0.6980592441266599,0.40289892514903186,36,23,66,19,
11,3,1,stratified_group_kfold_similarity_aware,rf,300,0.8184178034313055,0.7652706843718079,0.6535767158353574,0.7013888888888888,0.6504065040650406,0.40161855466441243,0.7272727272727273,0.6853932584269663,0.7063329928498467,0.414688773656655,40,28,61,15,
11,3,1,stratified_group_kfold_similarity_aware,extra_trees,300,0.8365299670806046,0.7903983656792645,0.707769013730348,0.7013888888888888,0.6260869565217392,0.3793056240777694,0.6545454545454545,0.7303370786516854,0.69244126659857,0.5,36,24,65,19,
11,3,1,stratified_group_kfold_similarity_aware,hist_gb,300,0.801225880691875,0.755464759959142,0.6913676654676238,0.6875,0.6218487394957983,0.36114956623683514,0.6727272727272727,0.6966292134831461,0.6846782431052094,0.48,37,27,62,18,
11,3,1,stratified_group_kfold_similarity_aware,xgb,300,0.8029135445484679,0.7650663942798774,0.6802130126076578,0.7013888888888888,0.6666666666666666,0.42140933482003917,0.7818181818181819,0.651685393258427,0.7167517875383045,0.4196288287639618,43,31,58,12,
11,3,1,stratified_group_kfold_similarity_aware,weighted_ensemble,300,0.7990095906382545,0.7824310520939735,0.6978956128092562,0.7569444444444444,0.6846846846846847,0.4870230068525168,0.6909090909090909,0.797752808988764,0.7443309499489275,0.4855798658953312,38,18,71,17,"logreg_l2,svm_rbf,nu_svm,rf,extra_trees,hist_gb,xgb"
12,3,2,stratified_group_kfold_similarity_aware,logreg_l2,300,0.7875133045808211,0.7561141304347826,0.583781766986498,0.7464788732394366,0.6086956521739131,0.421195652173913,0.6086956521739131,0.8125,0.7105978260869565,0.52,28,18,78,18,
